lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess
40,11.000000,0.250000,21,12,9,11,6,5,57.142857,54.545455,0.170000
40,11.000000,0.250000,21,12,9,11,6,5,57.142857,54.545455,0.180000
40,11.000000,0.250000,21,15,6,11,6,5,71.428571,54.545455,0.190000
40,11.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545,0.200000
40,11.000000,0.250000,21,16,5,11,3,8,76.190476,27.272727,0.210000
40,11.000000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.220000
40,11.000000,0.250000,21,14,7,11,2,9,66.666667,18.181818,0.230000
40,11.000000,0.250000,21,14,7,11,2,9,66.666667,18.181818,0.240000
40,13.000000,0.250000,21,11,10,11,5,6,52.380952,45.454545,0.150000
40,13.000000,0.250000,21,11,10,11,5,6,52.380952,45.454545,0.160000
40,13.000000,0.250000,21,12,9,11,5,6,57.142857,45.454545,0.170000
40,13.000000,0.250000,21,12,9,11,5,6,57.142857,45.454545,0.180000
40,13.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545,0.190000
40,13.000000,0.250000,21,13,8,11,4,7,61.904762,36.363636,0.200000
40,13.000000,0.250000,21,15,6,11,2,9,71.428571,18.181818,0.210000
40,13.000000,0.250000,21,14,7,11,2,9,66.666667,18.181818,0.220000
40,13.000000,0.250000,21,13,8,11,2,9,61.904762,18.181818,0.230000
40,13.000000,0.250000,21,13,8,11,2,9,61.904762,18.181818,0.240000
40,15.000000,0.250000,21,11,10,11,5,6,52.380952,45.454545,0.150000
40,15.000000,0.250000,21,11,10,11,5,6,52.380952,45.454545,0.160000
40,15.000000,0.250000,21,11,10,11,5,6,52.380952,45.454545,0.170000
40,15.000000,0.250000,21,11,10,11,5,6,52.380952,45.454545,0.180000
40,15.000000,0.250000,21,13,8,11,5,6,61.904762,45.454545,0.190000
40,15.000000,0.250000,21,12,9,11,4,7,57.142857,36.363636,0.200000
40,15.000000,0.250000,21,14,7,11,2,9,66.666667,18.181818,0.210000
40,15.000000,0.250000,21,13,8,11,2,9,61.904762,18.181818,0.220000
40,15.000000,0.250000,21,12,9,11,2,9,57.142857,18.181818,0.230000
40,15.000000,0.250000,21,12,9,11,2,9,57.142857,18.181818,0.240000
42,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.150000
42,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.160000

45,7.000000,0.250000,21,15,6,11,7,4,71.428571,63.636364,0.190000
45,7.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.200000
45,7.000000,0.250000,21,16,5,11,4,7,76.190476,36.363636,0.210000
45,8.500000,0.250000,21,15,6,11,7,4,71.428571,63.636364,0.190000
45,8.500000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.200000
45,8.500000,0.250000,21,16,5,11,4,7,76.190476,36.363636,0.210000
45,10.000000,0.250000,21,15,6,11,6,5,71.428571,54.545455,0.190000
45,10.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545,0.200000
45,10.000000,0.250000,21,16,5,11,3,8,76.190476,27.272727,0.210000
45,11.500000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.190000
45,11.500000,0.250000,21,13,8,11,5,6,61.904762,45.454545,0.200000
45,11.500000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.210000
45,13.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.190000
45,13.000000,0.250000,21,13,8,11,5,6,61.904762,45.454545,0.200000
45,13.000000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.210000

50,7.000000,0.250000,21,15,6,11,7,4,71.428571,63.636364,0.190000
50,7.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.200000
50,7.000000,0.250000,21,16,5,11,4,7,76.190476,36.363636,0.210000
50,8.500000,0.250000,21,15,6,11,7,4,71.428571,63.636364,0.190000
50,8.500000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.200000
50,8.500000,0.250000,21,16,5,11,4,7,76.190476,36.363636,0.210000
50,10.000000,0.250000,21,15,6,11,6,5,71.428571,54.545455,0.190000
50,10.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545,0.200000
50,10.000000,0.250000,21,16,5,11,3,8,76.190476,27.272727,0.210000
50,11.500000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.190000
50,11.500000,0.250000,21,13,8,11,5,6,61.904762,45.454545,0.200000
50,11.500000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.210000
50,13.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.190000
50,13.000000,0.250000,21,13,8,11,5,6,61.904762,45.454545,0.200000
50,13.000000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.210000

55,7.000000,0.250000,21,15,6,11,7,4,71.428571,63.636364,0.190000
55,7.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.200000
